ProcurementPlanID,FinancialYear,Directorate,CostCentre,RegionCode,ProcurementDescription,ProcurementCategory,ProcurementMethod,PlannedProcurementDate,EstimatedCost,ApprovedBudget,ActualContractValue,SupplierCategory,TenderReference,ContractStartDate,ContractEndDate,ProcurementStatus,PercentageComplete,AmountPaid,OutstandingContractAmount,ResponsibleRole,DelayDays,RiskRating
PP-00103,FY2023/2024,DIR-12,CC-024,RG-05,Medical Supplies - Infrastructure Project Unit 03,Equipment,Direct Procurement,2023-08-09,7980000,7608000,8895000,Construction,TND-207526,2023-10-10,2024-02-14,Planned,99,8825000,70000,Procurement Officer,0,Low
PP-00104,FY2023/2024,DIR-06,CC-006,RG-01,Office Furniture - Information and Communication Technology Directorate - HQ,Training,Framework Agreement,2023-08-23,3157000,3280000,0,Training,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00105,FY2023/2024,DIR-02,CC-002,RG-01,ICT Services - Finance and Accounts Directorate - HQ,Training,Low-Value Procurement,2024-02-17,6578000,6438000,7372000,ICT Services,TND-923812,2024-03-29,2025-03-26,Delayed,33,2399000,4973000,Procurement Officer,104,Critical
PP-00106,FY2023/2024,DIR-08,CC-008,RG-01,Fuel and Lubricants - Internal Audit and Risk Directorate - HQ,Training,Open Tender,2023-10-18,2889000,2991000,2602000,Travel and Accommodation,TND-282400,2023-12-08,2024-06-17,Advertised,26,687000,1915000,Procurement Officer,0,Low
PP-00107,FY2023/2024,DIR-13,CC-020,RG-07,Maintenance - Regional Office - Rift Valley Region,Printing and Stationery,Low-Value Procurement,2023-08-21,4407000,4255000,0,Maintenance,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00108,FY2023/2024,DIR-11,CC-011,RG-01,Cleaning Services - Technical Operations Directorate - HQ,Cleaning Services,Open Tender,2023-09-03,1530000,1600000,0,Utilities,,,,Delayed,0,0,0,Procurement Officer,96,Critical
PP-00109,FY2023/2024,DIR-12,CC-024,RG-05,Construction - Infrastructure Project Unit 03,Cleaning Services,Request for Quotations,2023-09-23,284000,312000,326000,ICT Services,TND-957087,2023-11-17,2024-03-20,Advertised,74,241000,85000,Procurement Officer,0,Low
PP-00110,FY2023/2024,DIR-03,CC-003,RG-01,"ICT Services - Strategy, Planning and Performance Directorate - HQ",Medical Supplies,Restricted Tender,2023-08-07,7030000,7372000,6069000,Travel and Accommodation,TND-502339,2023-09-28,2024-04-01,Ongoing,68,4144000,1925000,Procurement Officer,7,Low
PP-00111,FY2023/2024,DIR-12,CC-023,RG-01,Training - Infrastructure Project Unit 02,Security Services,Framework Agreement,2024-03-30,7534000,8202000,6644000,Fuel and Lubricants,TND-295814,2024-05-07,2024-11-01,Planned,35,2346000,4298000,Procurement Officer,0,Low
PP-00112,FY2023/2024,DIR-11,CC-032,RG-01,ICT Services - Technical Service Unit 04,Equipment,Framework Agreement,2024-03-22,1721000,1713000,1519000,Training,TND-407688,2024-06-15,2025-03-21,Advertised,47,721000,798000,Procurement Officer,0,Low
PP-00113,FY2023/2024,DIR-12,CC-012,RG-01,Consultancy - Projects and Infrastructure Directorate - HQ,Consultancy,Open Tender,2023-11-23,7712000,8026000,8300000,ICT Services,TND-795269,2024-01-30,2024-10-20,Planned,45,3702000,4598000,Procurement Officer,0,Low
PP-00114,FY2023/2024,DIR-11,CC-032,RG-01,Consultancy - Technical Service Unit 04,Professional Services,Open Tender,2024-02-26,2470000,2447000,2826000,Printing and Stationery,TND-883260,2024-04-29,2025-03-26,Advertised,62,1757000,1069000,Procurement Officer,0,Low
PP-00115,FY2023/2024,DIR-13,CC-021,RG-08,Travel and Accommodation - Regional Office - Western Region,Utilities,Request for Quotations,2023-09-27,2017000,2183000,1897000,Fuel and Lubricants,TND-665062,2023-12-14,2024-06-14,Advertised,53,998000,899000,Procurement Officer,0,Low
PP-00116,FY2023/2024,DIR-13,CC-019,RG-06,Utilities - Regional Office - Nyanza Region,Professional Services,Open Tender,2023-12-20,6331000,6321000,6673000,Maintenance,TND-701241,2024-01-28,2024-05-25,Delayed,46,3038000,3635000,Procurement Officer,23,Medium
PP-00117,FY2023/2024,DIR-12,CC-025,RG-04,Office Furniture - Infrastructure Project Unit 04,Printing and Stationery,Request for Quotations,2024-03-26,6252000,6221000,7168000,Travel and Accommodation,TND-901237,2024-06-09,2025-05-17,Planned,61,4355000,2813000,Procurement Officer,0,Low
PP-00118,FY2023/2024,DIR-11,CC-029,RG-02,Equipment - Technical Service Unit 01,Security Services,Low-Value Procurement,2024-01-19,381000,395000,423000,Equipment,TND-632297,2024-03-07,2024-06-15,Completed,98,415000,8000,Procurement Officer,72,High
PP-00119,FY2023/2024,DIR-13,CC-014,RG-01,Medical Supplies - Regional Office - Nairobi Region,Construction,Open Tender,2023-08-29,1562000,1498000,1381000,Travel and Accommodation,TND-541063,2023-11-06,2024-04-26,Advertised,29,400000,981000,Procurement Officer,0,Low
PP-00120,FY2023/2024,DIR-13,CC-013,RG-01,Printing and Stationery - Regional Operations Directorate - HQ,Fuel and Lubricants,Open Tender,2023-07-26,7137000,6822000,7966000,Equipment,TND-565541,2023-09-10,2024-06-06,Contract Signed,60,4741000,3225000,Procurement Officer,0,Low
PP-00121,FY2024/2025,DIR-01,CC-001,RG-01,Maintenance - Office of the Chief Executive Officer - HQ,Cleaning Services,Restricted Tender,2024-09-28,387000,381000,424000,Consultancy,TND-703901,2024-11-24,2025-03-28,Ongoing,34,146000,278000,Procurement Officer,42,Medium
PP-00122,FY2024/2025,DIR-10,CC-010,RG-01,"Medical Supplies - Research, Monitoring and Evaluation Directorate - HQ",ICT Services,Framework Agreement,2024-08-22,3402000,3638000,0,Maintenance,,,,Completed,0,0,0,Procurement Officer,119,Critical
PP-00123,FY2024/2025,DIR-09,CC-009,RG-01,Fuel and Lubricants - Corporate Communications and Customer Experience Directorate - HQ,Travel and Accommodation,Direct Procurement,2025-02-20,7778000,7748000,0,Security Services,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00124,FY2024/2025,DIR-13,CC-019,RG-06,Construction - Regional Office - Nyanza Region,Maintenance,Framework Agreement,2024-09-19,1687000,1681000,1915000,Printing and Stationery,TND-484372,2024-11-08,2025-02-24,Planned,92,1763000,152000,Procurement Officer,0,Low
PP-00125,FY2024/2025,DIR-07,CC-007,RG-01,Professional Services - Legal and Corporation Secretary Directorate - HQ,Cleaning Services,Direct Procurement,2024-09-21,3439000,3538000,3658000,Security Services,TND-253829,2024-12-08,2025-08-03,Completed,24,864000,2794000,Procurement Officer,76,High
PP-00126,FY2024/2025,DIR-12,CC-023,RG-01,Travel and Accommodation - Infrastructure Project Unit 02,Security Services,Low-Value Procurement,2024-11-19,906000,926000,917000,ICT Services,TND-649702,2024-12-29,2025-06-07,Planned,42,388000,529000,Procurement Officer,0,Low
PP-00127,FY2024/2025,DIR-13,CC-014,RG-01,Training - Regional Office - Nairobi Region,Utilities,Open Tender,2024-07-08,1473000,1497000,1477000,Construction,TND-832491,2024-09-14,2024-12-16,Cancelled,39,572000,905000,Procurement Officer,0,Low
PP-00128,FY2024/2025,DIR-12,CC-022,RG-02,Utilities - Infrastructure Project Unit 01,ICT Services,Open Tender,2025-02-12,7125000,7217000,7218000,Consultancy,TND-570124,2025-03-25,2025-10-02,Evaluation,84,6096000,1122000,Procurement Officer,0,Low
PP-00129,FY2024/2025,DIR-13,CC-021,RG-08,Equipment - Regional Office - Western Region,Construction,Restricted Tender,2025-03-13,1089000,1155000,0,Maintenance,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00130,FY2024/2025,DIR-13,CC-021,RG-08,Office Furniture - Regional Office - Western Region,Security Services,Low-Value Procurement,2025-03-13,3563000,3706000,3957000,ICT Services,TND-701588,2025-04-21,2025-12-23,Delayed,46,1833000,2124000,Procurement Officer,16,Medium
PP-00131,FY2024/2025,DIR-12,CC-025,RG-04,Cleaning Services - Infrastructure Project Unit 04,Office Furniture,Framework Agreement,2025-03-31,3463000,3629000,3080000,Maintenance,TND-167896,2025-05-25,2025-09-14,Cancelled,76,2341000,739000,Procurement Officer,0,Low
PP-00132,FY2024/2025,DIR-12,CC-028,RG-02,Printing and Stationery - Infrastructure Project Unit 07,Medical Supplies,Open Tender,2025-01-10,798000,872000,914000,Utilities,TND-499020,2025-04-02,2025-11-12,Delayed,27,243000,671000,Procurement Officer,4,Low
PP-00133,FY2024/2025,DIR-12,CC-022,RG-02,Travel and Accommodation - Infrastructure Project Unit 01,Equipment,Framework Agreement,2024-09-13,4234000,4465000,3634000,Professional Services,TND-958394,2024-11-03,2025-06-24,Planned,84,3057000,577000,Procurement Officer,0,Low
PP-00134,FY2024/2025,DIR-13,CC-019,RG-06,Training - Regional Office - Nyanza Region,Utilities,Request for Quotations,2024-11-04,3192000,3378000,0,Travel and Accommodation,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00135,FY2024/2025,DIR-12,CC-025,RG-04,Medical Supplies - Infrastructure Project Unit 04,Professional Services,Restricted Tender,2025-01-08,2460000,2393000,2563000,Printing and Stationery,TND-691565,2025-03-01,2025-06-23,Awarded,68,1747000,816000,Procurement Officer,0,Low
PP-00136,FY2024/2025,DIR-12,CC-012,RG-01,Security Services - Projects and Infrastructure Directorate - HQ,Training,Open Tender,2024-10-31,6612000,6305000,5772000,Security Services,TND-653576,2024-12-04,2025-09-12,Awarded,24,1387000,4385000,Procurement Officer,0,Low
PP-00137,FY2024/2025,DIR-11,CC-029,RG-02,Fuel and Lubricants - Technical Service Unit 01,Fuel and Lubricants,Low-Value Procurement,2024-09-19,3028000,2970000,0,ICT Services,,,,Ongoing,0,0,0,Procurement Officer,23,Medium
PP-00138,FY2024/2025,DIR-12,CC-012,RG-01,Security Services - Projects and Infrastructure Directorate - HQ,Security Services,Request for Quotations,2024-09-30,1435000,1491000,1595000,Maintenance,TND-219242,2024-11-15,2025-10-25,Evaluation,84,1346000,249000,Procurement Officer,0,Low
PP-00139,FY2024/2025,DIR-13,CC-013,RG-01,Office Furniture - Regional Operations Directorate - HQ,Utilities,Restricted Tender,2024-11-04,3284000,3186000,2907000,Printing and Stationery,TND-984591,2025-01-01,2025-12-03,Contract Signed,97,2831000,76000,Procurement Officer,0,Low
PP-00140,FY2024/2025,DIR-13,CC-021,RG-08,ICT Services - Regional Office - Western Region,Travel and Accommodation,Restricted Tender,2024-09-27,1955000,2142000,1790000,Maintenance,TND-595236,2024-10-30,2025-02-01,Delayed,38,678000,1112000,Procurement Officer,101,Critical
PP-00141,FY2024/2025,DIR-13,CC-014,RG-01,Security Services - Regional Office - Nairobi Region,Cleaning Services,Open Tender,2024-09-10,2476000,2476000,0,Consultancy,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00142,FY2024/2025,DIR-11,CC-029,RG-02,Maintenance - Technical Service Unit 01,Professional Services,Framework Agreement,2025-03-03,7781000,8327000,8108000,Construction,TND-734793,2025-04-14,2026-04-06,Delayed,64,5183000,2925000,Procurement Officer,2,Low
PP-00143,FY2024/2025,DIR-13,CC-017,RG-04,ICT Services - Regional Office - Eastern Region,Consultancy,Open Tender,2024-11-27,1774000,1942000,1543000,Training,TND-104159,2025-01-13,2025-09-10,Ongoing,83,1278000,265000,Procurement Officer,9,Low
PP-00144,FY2024/2025,DIR-13,CC-021,RG-08,Training - Regional Office - Western Region,Travel and Accommodation,Open Tender,2024-12-30,5266000,5365000,0,Travel and Accommodation,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00145,FY2024/2025,DIR-12,CC-026,RG-04,Cleaning Services - Infrastructure Project Unit 05,Consultancy,Framework Agreement,2024-08-20,6507000,6960000,6178000,Utilities,TND-293436,2024-10-07,2025-08-12,Completed,99,6106000,72000,Procurement Officer,36,Medium
PP-00146,FY2024/2025,DIR-13,CC-018,RG-05,ICT Services - Regional Office - North Eastern Region,Maintenance,Low-Value Procurement,2024-09-29,3730000,3799000,0,Utilities,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00147,FY2024/2025,DIR-02,CC-002,RG-01,ICT Services - Finance and Accounts Directorate - HQ,Travel and Accommodation,Low-Value Procurement,2024-07-13,5195000,5256000,0,Security Services,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00148,FY2024/2025,DIR-13,CC-014,RG-01,Professional Services - Regional Office - Nairobi Region,Professional Services,Direct Procurement,2025-02-06,7692000,7688000,7517000,ICT Services,TND-252556,2025-03-16,2025-08-13,Awarded,39,2916000,4601000,Procurement Officer,0,Low
PP-00149,FY2024/2025,DIR-03,CC-003,RG-01,"Maintenance - Strategy, Planning and Performance Directorate - HQ",Travel and Accommodation,Restricted Tender,2024-11-03,1706000,1699000,1715000,Consultancy,TND-428349,2024-12-29,2025-12-28,Cancelled,42,716000,999000,Procurement Officer,0,Low
PP-00150,FY2024/2025,DIR-12,CC-025,RG-04,Training - Infrastructure Project Unit 04,ICT Services,Request for Quotations,2024-09-09,5388000,5402000,5090000,Professional Services,TND-770740,2024-10-20,2025-05-05,Ongoing,64,3274000,1816000,Procurement Officer,47,High
PP-00151,FY2024/2025,DIR-02,CC-002,RG-01,Medical Supplies - Finance and Accounts Directorate - HQ,Consultancy,Open Tender,2024-09-19,6920000,7451000,6025000,Consultancy,TND-404535,2024-11-08,2025-09-26,Evaluation,94,5651000,374000,Procurement Officer,0,Low
PP-00152,FY2024/2025,DIR-13,CC-014,RG-01,Training - Regional Office - Nairobi Region,Professional Services,Open Tender,2025-03-16,5270000,5061000,0,Training,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00153,FY2024/2025,DIR-12,CC-025,RG-04,Equipment - Infrastructure Project Unit 04,Maintenance,Low-Value Procurement,2025-01-19,6507000,6470000,7073000,Fuel and Lubricants,TND-540396,2025-03-01,2025-08-28,Awarded,24,1709000,5364000,Procurement Officer,0,Low
PP-00154,FY2024/2025,DIR-13,CC-013,RG-01,Medical Supplies - Regional Operations Directorate - HQ,Security Services,Direct Procurement,2024-09-07,4065000,4086000,0,Fuel and Lubricants,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00155,FY2024/2025,DIR-12,CC-026,RG-04,Maintenance - Infrastructure Project Unit 05,Medical Supplies,Framework Agreement,2024-10-07,6521000,6888000,0,Utilities,,,,Delayed,0,0,0,Procurement Officer,33,Medium
PP-00156,FY2024/2025,DIR-11,CC-030,RG-07,Security Services - Technical Service Unit 02,Cleaning Services,Restricted Tender,2024-12-25,4348000,4455000,0,Construction,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00157,FY2024/2025,DIR-12,CC-026,RG-04,Consultancy - Infrastructure Project Unit 05,Maintenance,Framework Agreement,2024-11-04,4485000,4450000,4425000,Travel and Accommodation,TND-814764,2024-12-16,2025-10-09,Ongoing,30,1349000,3076000,Procurement Officer,71,High
PP-00158,FY2024/2025,DIR-13,CC-013,RG-01,Travel and Accommodation - Regional Operations Directorate - HQ,Utilities,Framework Agreement,2024-12-29,3940000,3961000,3362000,ICT Services,TND-673958,2025-03-20,2025-07-03,Awarded,94,3153000,209000,Procurement Officer,0,Low
PP-00159,FY2024/2025,DIR-13,CC-020,RG-07,Maintenance - Regional Office - Rift Valley Region,Construction,Framework Agreement,2024-10-06,1114000,1127000,1227000,Maintenance,TND-768935,2024-12-30,2025-06-12,Delayed,26,318000,909000,Procurement Officer,87,High
PP-00160,FY2024/2025,DIR-03,CC-003,RG-01,"Professional Services - Strategy, Planning and Performance Directorate - HQ",Training,Framework Agreement,2024-11-29,3490000,3496000,3906000,Printing and Stationery,TND-433878,2025-01-31,2025-05-21,Ongoing,85,3334000,572000,Procurement Officer,13,Low
PP-00161,FY2024/2025,DIR-13,CC-019,RG-06,Travel and Accommodation - Regional Office - Nyanza Region,Construction,Open Tender,2024-07-07,834000,872000,800000,Printing and Stationery,TND-131907,2024-09-17,2025-04-13,Contract Signed,22,177000,623000,Procurement Officer,0,Low
PP-00162,FY2024/2025,DIR-13,CC-013,RG-01,ICT Services - Regional Operations Directorate - HQ,Printing and Stationery,Request for Quotations,2025-01-13,389000,399000,0,Fuel and Lubricants,,,,Completed,0,0,0,Procurement Officer,116,Critical
PP-00163,FY2024/2025,DIR-13,CC-018,RG-05,Office Furniture - Regional Office - North Eastern Region,Printing and Stationery,Direct Procurement,2025-02-01,2004000,1934000,1945000,Utilities,TND-812217,2025-03-16,2026-03-01,Cancelled,27,529000,1416000,Procurement Officer,0,Low
PP-00164,FY2024/2025,DIR-02,CC-002,RG-01,Construction - Finance and Accounts Directorate - HQ,Security Services,Framework Agreement,2025-02-04,3255000,3392000,0,ICT Services,,,,Ongoing,0,0,0,Procurement Officer,58,High
PP-00165,FY2024/2025,DIR-13,CC-020,RG-07,Printing and Stationery - Regional Office - Rift Valley Region,Utilities,Framework Agreement,2024-11-21,6848000,6553000,0,Consultancy,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00166,FY2024/2025,DIR-12,CC-023,RG-01,Medical Supplies - Infrastructure Project Unit 02,Medical Supplies,Framework Agreement,2024-12-23,5443000,5492000,0,Training,,,,Delayed,0,0,0,Procurement Officer,30,Medium
PP-00167,FY2024/2025,DIR-13,CC-016,RG-03,Security Services - Regional Office - Coast Region,Cleaning Services,Direct Procurement,2025-02-07,4719000,4825000,4285000,Training,TND-182560,2025-03-25,2026-03-21,Completed,85,3647000,638000,Procurement Officer,54,High
PP-00168,FY2024/2025,DIR-12,CC-026,RG-04,Construction - Infrastructure Project Unit 05,Equipment,Restricted Tender,2024-09-14,1222000,1213000,1181000,Consultancy,TND-735275,2024-11-23,2025-07-06,Planned,42,491000,690000,Procurement Officer,0,Low
PP-00169,FY2024/2025,DIR-13,CC-016,RG-03,Equipment - Regional Office - Coast Region,ICT Services,Request for Quotations,2024-11-30,1028000,1066000,960000,Training,TND-876196,2025-02-10,2025-05-16,Ongoing,64,618000,342000,Procurement Officer,73,High
PP-00170,FY2024/2025,DIR-12,CC-012,RG-01,Fuel and Lubricants - Projects and Infrastructure Directorate - HQ,Maintenance,Open Tender,2025-01-14,7127000,7228000,7711000,Travel and Accommodation,TND-863409,2025-04-06,2026-01-22,Contract Signed,53,4057000,3654000,Procurement Officer,0,Low
PP-00171,FY2024/2025,DIR-11,CC-032,RG-01,Consultancy - Technical Service Unit 04,Equipment,Direct Procurement,2024-12-06,6280000,6146000,5852000,Travel and Accommodation,TND-717061,2025-02-02,2025-11-15,Completed,38,2213000,3639000,Procurement Officer,14,Low
PP-00172,FY2024/2025,DIR-12,CC-012,RG-01,Travel and Accommodation - Projects and Infrastructure Directorate - HQ,Office Furniture,Restricted Tender,2025-02-03,543000,528000,567000,Professional Services,TND-335668,2025-03-11,2026-01-15,Delayed,99,564000,3000,Procurement Officer,68,High
PP-00173,FY2024/2025,DIR-12,CC-012,RG-01,Travel and Accommodation - Projects and Infrastructure Directorate - HQ,Construction,Request for Quotations,2024-10-17,5841000,6391000,6507000,Utilities,TND-581047,2025-01-08,2025-10-18,Ongoing,96,6234000,273000,Procurement Officer,64,High
PP-00174,FY2024/2025,DIR-13,CC-013,RG-01,Security Services - Regional Operations Directorate - HQ,Professional Services,Open Tender,2024-10-19,6962000,7098000,7235000,Utilities,TND-920400,2024-12-22,2025-04-20,Evaluation,81,5891000,1344000,Procurement Officer,0,Low
PP-00175,FY2024/2025,DIR-09,CC-009,RG-01,Security Services - Corporate Communications and Customer Experience Directorate - HQ,Utilities,Framework Agreement,2025-03-28,1365000,1353000,1228000,Security Services,TND-402811,2025-06-16,2025-11-20,Advertised,70,857000,371000,Procurement Officer,0,Low
PP-00176,FY2024/2025,DIR-13,CC-018,RG-05,Cleaning Services - Regional Office - North Eastern Region,Utilities,Request for Quotations,2025-01-06,4711000,4768000,4186000,ICT Services,TND-716427,2025-02-28,2025-12-24,Advertised,43,1785000,2401000,Procurement Officer,0,Low
PP-00177,FY2024/2025,DIR-08,CC-008,RG-01,Cleaning Services - Internal Audit and Risk Directorate - HQ,Travel and Accommodation,Framework Agreement,2025-02-18,7644000,7375000,0,ICT Services,,,,Completed,0,0,0,Procurement Officer,40,Medium
PP-00178,FY2024/2025,DIR-13,CC-017,RG-04,Utilities - Regional Office - Eastern Region,Medical Supplies,Open Tender,2024-11-05,5610000,5741000,5389000,Fuel and Lubricants,TND-209111,2024-12-23,2025-10-20,Evaluation,32,1725000,3664000,Procurement Officer,0,Low
PP-00179,FY2024/2025,DIR-11,CC-032,RG-01,Professional Services - Technical Service Unit 04,Professional Services,Framework Agreement,2025-01-22,6548000,6597000,6624000,Fuel and Lubricants,TND-359681,2025-04-06,2025-07-18,Completed,78,5142000,1482000,Procurement Officer,14,Low
PP-00180,FY2024/2025,DIR-10,CC-010,RG-01,"Utilities - Research, Monitoring and Evaluation Directorate - HQ",Fuel and Lubricants,Low-Value Procurement,2025-02-05,7848000,8034000,8672000,Printing and Stationery,TND-528786,2025-05-02,2025-12-09,Awarded,49,4272000,4400000,Procurement Officer,0,Low
PP-00181,FY2024/2025,DIR-04,CC-004,RG-01,Equipment - Human Resource and Administration Directorate - HQ,Consultancy,Framework Agreement,2024-07-15,5123000,5405000,0,Fuel and Lubricants,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00182,FY2024/2025,DIR-12,CC-022,RG-02,Maintenance - Infrastructure Project Unit 01,Professional Services,Restricted Tender,2025-03-24,5912000,5933000,0,Printing and Stationery,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00183,FY2024/2025,DIR-11,CC-031,RG-01,Equipment - Technical Service Unit 03,Cleaning Services,Low-Value Procurement,2025-01-31,3970000,4289000,0,Training,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00184,FY2024/2025,DIR-02,CC-002,RG-01,Professional Services - Finance and Accounts Directorate - HQ,Printing and Stationery,Request for Quotations,2024-08-06,5181000,5393000,0,Travel and Accommodation,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00185,FY2024/2025,DIR-11,CC-031,RG-01,Printing and Stationery - Technical Service Unit 03,Cleaning Services,Direct Procurement,2025-02-10,7405000,8039000,6307000,Maintenance,TND-905551,2025-03-12,2025-07-03,Planned,78,4917000,1390000,Procurement Officer,0,Low
PP-00186,FY2024/2025,DIR-09,CC-009,RG-01,Equipment - Corporate Communications and Customer Experience Directorate - HQ,ICT Services,Low-Value Procurement,2024-12-16,5503000,5674000,5058000,Equipment,TND-735739,2025-02-03,2025-09-30,Evaluation,49,2467000,2591000,Procurement Officer,0,Low
PP-00187,FY2024/2025,DIR-13,CC-021,RG-08,Office Furniture - Regional Office - Western Region,Printing and Stationery,Framework Agreement,2024-10-11,4175000,4462000,4501000,Travel and Accommodation,TND-572488,2024-12-23,2025-11-29,Cancelled,35,1572000,2929000,Procurement Officer,0,Low
PP-00188,FY2024/2025,DIR-12,CC-023,RG-01,Equipment - Infrastructure Project Unit 02,Fuel and Lubricants,Low-Value Procurement,2024-12-01,798000,764000,902000,Fuel and Lubricants,TND-496807,2025-01-05,2025-05-01,Delayed,78,703000,199000,Procurement Officer,47,High
PP-00189,FY2024/2025,DIR-06,CC-006,RG-01,Maintenance - Information and Communication Technology Directorate - HQ,Construction,Direct Procurement,2024-12-03,957000,916000,0,Utilities,,,,Ongoing,0,0,0,Procurement Officer,32,Medium
PP-00190,FY2024/2025,DIR-07,CC-007,RG-01,Fuel and Lubricants - Legal and Corporation Secretary Directorate - HQ,Maintenance,Framework Agreement,2024-11-20,7261000,7334000,7091000,Fuel and Lubricants,TND-557681,2025-01-31,2025-06-22,Ongoing,34,2436000,4655000,Procurement Officer,80,High
PP-00191,FY2024/2025,DIR-08,CC-008,RG-01,Professional Services - Internal Audit and Risk Directorate - HQ,Training,Request for Quotations,2024-12-12,5291000,5271000,6047000,Professional Services,TND-583502,2025-03-02,2025-08-17,Advertised,87,5231000,816000,Procurement Officer,0,Low
PP-00192,FY2024/2025,DIR-12,CC-026,RG-04,Equipment - Infrastructure Project Unit 05,Travel and Accommodation,Direct Procurement,2025-03-02,4651000,4759000,0,Consultancy,,,,Delayed,0,0,0,Procurement Officer,8,Low
PP-00193,FY2024/2025,DIR-13,CC-014,RG-01,Fuel and Lubricants - Regional Office - Nairobi Region,Training,Low-Value Procurement,2024-10-01,785000,834000,816000,Maintenance,TND-110469,2024-11-11,2025-06-23,Delayed,27,217000,599000,Procurement Officer,89,High
PP-00194,FY2024/2025,DIR-04,CC-004,RG-01,Security Services - Human Resource and Administration Directorate - HQ,Medical Supplies,Low-Value Procurement,2024-07-05,1140000,1143000,1196000,Maintenance,TND-610162,2024-08-13,2025-06-25,Completed,37,443000,753000,Procurement Officer,12,Low
PP-00195,FY2024/2025,DIR-11,CC-029,RG-02,Travel and Accommodation - Technical Service Unit 01,Security Services,Framework Agreement,2024-09-29,3212000,3120000,3117000,Construction,TND-368850,2024-11-02,2025-07-25,Completed,65,2022000,1095000,Procurement Officer,85,High
PP-00196,FY2024/2025,DIR-12,CC-012,RG-01,Equipment - Projects and Infrastructure Directorate - HQ,Printing and Stationery,Open Tender,2025-02-05,3147000,3141000,0,Professional Services,,,,Ongoing,0,0,0,Procurement Officer,91,Critical
PP-00197,FY2024/2025,DIR-02,CC-002,RG-01,ICT Services - Finance and Accounts Directorate - HQ,Fuel and Lubricants,Low-Value Procurement,2024-10-29,5814000,6027000,0,Travel and Accommodation,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00198,FY2024/2025,DIR-11,CC-032,RG-01,Training - Technical Service Unit 04,Medical Supplies,Framework Agreement,2025-02-18,3286000,3147000,2925000,Travel and Accommodation,TND-458821,2025-04-13,2025-10-11,Cancelled,40,1171000,1754000,Procurement Officer,0,Low
PP-00199,FY2024/2025,DIR-11,CC-030,RG-07,ICT Services - Technical Service Unit 02,Maintenance,Direct Procurement,2025-01-15,2875000,3050000,0,Printing and Stationery,,,,Ongoing,0,0,0,Procurement Officer,114,Critical
PP-00200,FY2024/2025,DIR-11,CC-032,RG-01,Utilities - Technical Service Unit 04,Medical Supplies,Direct Procurement,2024-11-16,6174000,6422000,0,Professional Services,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00201,FY2024/2025,DIR-02,CC-002,RG-01,Construction - Finance and Accounts Directorate - HQ,Equipment,Low-Value Procurement,2024-09-13,660000,665000,631000,Equipment,TND-130911,2024-11-16,2025-06-17,Advertised,38,240000,391000,Procurement Officer,0,Low
PP-00202,FY2024/2025,DIR-13,CC-016,RG-03,Travel and Accommodation - Regional Office - Coast Region,Construction,Low-Value Procurement,2024-09-29,5209000,4975000,4797000,Construction,TND-653472,2024-11-02,2025-04-19,Awarded,81,3877000,920000,Procurement Officer,0,Low
PP-00203,FY2024/2025,DIR-13,CC-014,RG-01,Equipment - Regional Office - Nairobi Region,Training,Low-Value Procurement,2024-08-30,6226000,6648000,5858000,Printing and Stationery,TND-335055,2024-10-10,2025-06-02,Evaluation,81,4766000,1092000,Procurement Officer,0,Low
PP-00204,FY2024/2025,DIR-02,CC-002,RG-01,Training - Finance and Accounts Directorate - HQ,Consultancy,Direct Procurement,2025-02-21,5921000,5799000,6331000,Consultancy,TND-185706,2025-03-26,2025-08-06,Cancelled,91,5767000,564000,Procurement Officer,0,Low
PP-00205,FY2024/2025,DIR-07,CC-007,RG-01,Printing and Stationery - Legal and Corporation Secretary Directorate - HQ,Equipment,Direct Procurement,2025-03-18,2371000,2414000,2520000,Equipment,TND-887991,2025-05-29,2025-12-28,Cancelled,31,776000,1744000,Procurement Officer,0,Low
PP-00206,FY2024/2025,DIR-13,CC-019,RG-06,Security Services - Regional Office - Nyanza Region,Medical Supplies,Open Tender,2024-11-12,5288000,5422000,5065000,Security Services,TND-962729,2025-01-25,2025-11-16,Delayed,51,2584000,2481000,Procurement Officer,11,Low
